,0,1,2,3,4,5,6,7,8,9
Alexandre Pires,"""Usted Se Me Llevó La Vida"" by Alexandre Pires:
    Usted se me llevo la vida y el alma entera
    Y se ha clavado aquí en mis huesos el dolor
    Con esta angu...","""Memórias Póstumas de Brás Cubas"" by Machado de Assis:
    Texto-fonte:
    Obra Completa, Machado de Assis,
    Rio de Janeiro: Editora Nova Aguilar, 1994.
    Publicado ...","""Ámame"" by Alexandre Pires:
    Ven a mí dulce amor
    Ayúdame a cambiar este destino
    Sálvame! Por favor
    Qué tengo el corazón partido e...","""Que Saudade"" by Thiaguinho:
    Sentindo que você ia me deixar
    Eu fui me afastando devagar
    Pra te esquecer, antes que você me diga
    Q...",,,,,,"""Necesidad"" by Alexandre Pires:
    Besar esa boca es toda una aventura
    Donde hago piruetas y empiezo a caer
    Besar esa boca no tiene cle..."
Alexandre Tharaud,,,,,,,,,,
Alexis Weissenberg,,,,,,,,,,
Alfonso Vélez,"""El Burlador de Sevilla y Convidado de Piedra (Acto Primero)"" by Tirso de Molina:
    ACTO PRIMERO
    
    Salen don JUAN Tenorio e ISABELA, duquesa.
    
    Salen don JUAN Tenorio e ISABELA,
    duquesa
    ...",,,,"""Nominados a los Latin Grammy 2017"" by Latin Grammys:
    Source/Fuente1. GRABACIÓN DEL AÑO
    Rubén Blades — ""La Flor de La Canela""
    Jorge Drexler — ""El Surco""
    A...",,"""Os Sertões"" by Euclides da Cunha:
    Os Sertões, de Euclides da Cunha
    Fonte:
    CUNHA, Euclides da. Os Sertões. São Paulo: Três, 1984 (Bibli...","""El Burlador de Sevilla y Convidado de Piedra (Acto Primero)"" by Tirso de Molina:
    ACTO PRIMERO
    
    Salen don JUAN Tenorio e ISABELA, duquesa.
    
    Salen don JUAN Tenorio e ISABELA,
    duquesa
    ...","""El Burlador de Sevilla y Convidado de Piedra (Acto Segundo)"" by Tirso de Molina:
    ACTO SEGUNDO
    Salen el REY y don Diego TENORIO, el
    viejo
    
    REY:              ¿Qué me dices?
    DIEGO:    ...","""El Burlador de Sevilla y Convidado de Piedra (Acto Primero)"" by Tirso de Molina:
    ACTO PRIMERO
    
    Salen don JUAN Tenorio e ISABELA, duquesa.
    
    Salen don JUAN Tenorio e ISABELA,
    duquesa
    ..."
Alfred Brendel,,,,,,,,,,
Alfred Cortot,,,,,,,,,,
Alfred Prinz,,,,,,,,,,
Alfredo Olivas,,,"""Las Vacaciones Del Jefe"" by Alfredo Olivas:
    ALFREDO OLIVAS
    Yo no he matado a nadie, últimamente
    Mi consciencia esta tranquila yo estoy sonriente...",,,,,,,
Alice DJ,"""Better Off Alone"" by Alice DeeJay:
    Do you think you're better off alone?
    Do you think you're better off alone?
    Do you think you're bett...","""Back in My Life"" by Alice DeeJay:
    (Want you back in my life)
    
    I want you back in my life
    Want you back by my side
    'Cause that's where ...","""Will I Ever"" by Alice DeeJay:
    Na-na-na-na
    
    I don't dare to let it show
    Therefor you will never know
    What I really feel inside
    And ...","""2019 and 2020 Fresh Finds: Pop (Playlist)"" by Spotify:
    12/7/2020 Update
    ""Weekend"" - Clubhouse
    ""Dress"" - Charlotte Sands
    ""Nirvana"" - ELLIANA
    11/18/2020 Upda...","""The Lonely One"" by Alice DeeJay:
    You don't have to be the lonely one
    You don't have to be the lonely one
    You don't have to be the lon...",,"""50 Best Songs of 2015"" by Genius:
    2015 was full of surprises. Kanye West, Rihanna, and Sir Paul McCartney made a song, Canadians ruled...",,"""Who Needs Guitars Anyway?"" by Alice DeeJay:
    Alice Deejay
    Who Needs Guitars Anyway?
    Who Needs Guitars Anyway?
    Instrumental",
Alice In Chains,"""Man in the Box"" by Alice in Chains:
    I'm the man in the box
    Buried in my shit
    
    Won't you come and save me?
    Save me
    
    Feed my eyes
    (Can you...","""Would?"" by Alice in Chains:
    Know me, broken by my master
    Teach thee on child, of love hereafter
    
    Into the flood again
    Same old t...","""Nutshell"" by Alice in Chains:
    We chase misprinted lies
    We face the path of time
    And yet I fight, and yet I fight this battle all a...","""Rooster"" by Alice in Chains:
    Ain't found a way to kill me yet
    Eyes burn with stinging sweat
    Seems every path leads me to nowhere
    ...","""Them Bones"" by Alice in Chains:
    Ah! Ah! Ah! Ah!
    
    I believe them bones are me
    Some say we're born into the grave
    
    I feel so alone
    Gon...","""No Excuses"" by Alice in Chains:
    It's alright, there comes a time
    Got no patience to search for peace of mind
    Layin' low, wanna take ...","""Down in a Hole"" by Alice in Chains:
    Bury me softly in this womb
    I give this part of me for you
    Sand rains down and here I sit
    Holding ra...","""Heaven Beside You"" by Alice in Chains:
    Be what you wanna be
    See what you came to see
    Been what you wanna be
    I don't like what I see
    
    Like t...","""I Stay Away"" by Alice in Chains:
    Yeah, hey, I want to travel south this year
    I won't, won't prevent safe passage here
    
    Why you act cr...","""Check My Brain"" by Alice in Chains:
    So I found myself in the sun, oh yeah
    A hell of a place to end a run, oh yeah
    
    California, I'm fine
    ..."
Alicia Villarreal,,"""Te Quedó Grande La Yegua"" by Alicia Villarreal:
    ¡Ya no pienso mantener este cariño!
    Ya no pienso mantener este cariño mientras me parto el alma te d...","""Insensible a ti (Me pone a mil)"" by Alicia Villarreal:
    Ya no voy a esconderme de ti
    Para ocultar mis sentimientos
    Ya no quiero llorar a escondidas callando...","""La Que Baje La Guardia"" by Alicia Villarreal:
    Te acostumbre a estar entre mis brasos
    A darte horas de plaser y de amor
    Pero he cambiado ya no soy ...","""Sentimientos"" by Alicia Villarreal & María José:
    Cada vez más dentro de mi corazón
    Te llevo yo, te llevo yo
    Cuando con ternura me abrazas tu
    Tienes g...","""Besos y copas"" by Alicia Villarreal:
    Me dices que tu ya no me quieres
    Que el mundo y los plaseres te importan mas que yo
    Por eso desde ho...","""Te Aprovechas"" by Alicia Villarreal & Ha*Ash:
    Soy la sombra de tu vida tu me elevas y me tiras yo te sigo y tu me pisas sin reparar jamás en mi
    Be...","""Ladrón"" by Alicia Villarreal:
    Quiero relatar lo que a mi me sucedió, cuando la otra noche mi sueno se turbo, un hombre parado con ...","""Si Una Vez"" by Alicia Villarreal:
    Si una vez, oiste a tu publico gritar tu nombre
    Cantar contigo, bailar tu musica
    Te daras cuenta que...","""Soy Lo Prohibido"" by Alicia Villarreal:
    Soy ese vicio de tu piel, que ya no puedes desprender
    Soy lo prohibido
    Soy esa fiebre de tu ser, que..."
Alicia de Larrocha,,,,,,,,,,
Alien Ant Farm,"""Smooth Criminal"" by Alien Ant Farm:
    (Oh no)
    
    As he came into the window
    Was a sound of a crescendo
    He came into her apartment
    He left th...","""Movies"" by Alien Ant Farm:
    At slow speed we all seem focused
    In motion we seem wrong, wrong
    In summer we can taste the rain
    
    I ...","""Wish"" by Alien Ant Farm:
    Proud, proud is to hear it all, yeah, yeah
    Proud, ah proud, proud is to watch us fall, yeah, yeah
    
    M...","""Smooth Criminal"" by Alien Ant Farm:
    (Oh no)
    
    As he came into the window
    Was a sound of a crescendo
    He came into her apartment
    He left th...","""Everything She Wants"" by Alien Ant Farm:
    Ah-ha-ha
    Oh yeah
    Somebody told me
    ""Boy, everything she wants, is everything she sees""
    I guess I must...","""Glow"" by Alien Ant Farm:
    I never thought that you'd find out I did it
    I was so scared that you would leave so I hid it
    I know...","""Courage"" by Alien Ant Farm:
    You should try not to be so courageous
    Contrary to the matter
    Who you are, you are not
    Come with me,...",,"""These Days"" by Alien Ant Farm:
    Making all these waves and
    I wonder where the days went
    I sit and think of you, I hope the feeling's...","""Attitude"" by Alien Ant Farm:
    Maybe I act on confused behavior
    Maybe waves crash like semi-trailer
    Maybe I'll spend my off-time wi..."
Alina Baraz,"""New Music Friday 03/17/17"" by Spotify:
    ​mansionz - Dennis Rodman feat. Dennis Rodman
    Clean Bandit - Symphony feat. Zara Larsson
    G-Eazy & Ke...","""Best New Weekly EDM/Pop Releases 2019"" by ​itischris:
    Week 19 – 6/5-12/5
    SG Lewis - ""Flames"" feat. Ruel
    R3hab & Julie Bergan - ""Don't Give Up On Me Now""
    D...","""New Music Friday 4/24/20"" by Spotify:
    Juice WRLD - Righteous
    THE SCOTTS - THE SCOTTS
    The 1975 - If You’re Too Shy (Let Me Know) - Edit
    Ala...","""Floating (filous Remix)"" by Alina Baraz:
    It's in the way you see
    You know what I need
    It's in the way that you're holding me, bringing me clo...","""Fantasy"" by Alina Baraz & Galimatias:
    So you say you wanna get away
    We don't need a plane
    I could be your escape
    Take you to a place
    Where...","""More Than Enough"" by Alina Baraz:
    Mm
    Yeah, yeah
    
    You got a way with words
    You take away the hurt
    And it's a blessing and a curse to fe...","""To Me"" by Alina Baraz:
    It's been a while since you heard from me
    I stay alone, protect my energies
    Found a little love, los...","""Make You Feel"" by Alina Baraz & Galimatias:
    Listen long, long enough you can love me
    I’ll be just yours, you can hold me
    Even let you undress my...","""Lavender and Velvet"" by Alina Baraz:
    Pull up to the city
    Tell me I'm your lily
    I'll be in that dress you like
    Body in vanilla
    Yeah, I kno...","""Unfold"" by Alina Baraz & Galimatias:
    Cover my thoughts in gold
    I'm your flower, watch me unfold
    My vulnerability, letting you consume me
    ..."
Alison Wonderland,"""Anything"" by Alison Wonderland & Valentino Khan:
    Those eyes, disguise, I'll hide
    Bright lights, design, they're fine
    Your heart beats fast despite
    Th...","""I Want U"" by Alison Wonderland:
    I know you've seen it
    Don't try to beat it
    I want the pressure off
    But it continues until I kiss you...","""Bad Things"" by Alison Wonderland:
    I won't make my bed tonight
    'Cause I don't feel like sleepin' tight
    Wanna ask if you're alright
    But ...","""Church"" by Alison Wonderland:
    I don't know where I should begin
    All this time that I'm putting in (Aah)
    Build me up just to bring ...",,"""Bummed"" by Chet Porter:
    Man, I've been so down the last few years
    Just 'cause I'm smiling doesn't mean that I'm okay
    God, so...","""New Rules (Alison Wonderland Remix)"" by Dua Lipa:
    Count 'em, count 'em, count 'em, count 'em, count 'em
    I got new rules, I count 'em
    Count 'em, count ...","""Peace"" by Alison Wonderland:
    Someday
    Someday
    
    Nights are numb, days are dead
    Tried to fix you, broke myself instead
    I wonder why ...","""Run"" by Alison Wonderland:
    Don't take it down
    Don't take it down
    Don't take it down
    Don't take it down
    
    I needed you another wa...","""Cry"" by Alison Wonderland:
    I was a ghost that couldn't leave that world behind me
    I didn't know I needed someone who could quie..."
Alka Yagnik,,"""Bole Chudiyan"" by Alka Yagnik, Sonu Nigam, Udit Narayan:
    Bole chudiyan, bole kangna
    Haai main ho gayi teri saajna
    Tere bin jiyo naiyo lag da main te margaiya...",,"""Kuch Kuch Hota Hai"" by Udit Narayan & Alka Yagnik:
    Tum paas aa'e
    Yuu'n muskaraa'e (x2)
    Tum ne na jaane kya
    Sapane dikhaa'e
    Tum paas aa'e
    Yuu'n muskaraa...",,,,"""Yeh Ladka Hai Allah"" by Alka Yagnik, Jatin-Lalit, Udit Narayan:
    Banno ki mehndi kya kehna
    Banno ka joda kya kehna
    Banno lage hai phoolon ka gehna
    Banno ki aankhen k...",,
All,"""Dreamer"" by TheAngelcy:
    O dreamer dreamer fold your wings the rain is coming
    Illusion feeds your lucid dreams the rain is co...","""Wishing Well"" by ALL:
    I go to that wishing well
    Stand looking down
    So many thoughts cloud my brain
    And I think about their...","""All Eyes On Me"" by AKA:
    Up to de time dem fi no say
    Burna man king de original Nigerian
    Don Gorgon riding true man hustle wi...","""ALL GIRLS ARE THE SAME"" by LORDRONIN:
    Valentine in December
    You said you love me but you don't remember
    My name
    You cause me pain
    All girl...","""July 2020 Singles Release Calendar"" by Genius:
    7/1
    A Boogie Wit Da Hoodie & Don Q - ""Flood My Wrist"" ft. Lil Uzi Vert
    Buddy - ""Faces"" ft. Lucky Day...","""New Music Friday 1/15/21"" by Spotify:
    Bad Boy (with Young Thug) - Juice WRLD
    Roaring 20s - Flo Milli
    Girls Like Us - Zoe Wees
    Masterpiece ...","""New Music Friday 10/04/19"" by Spotify:
    Travis Scott - HIGHEST IN THE ROOM
    Camila Cabello - Cry for Me
    Dan + Shay - 10,000 Hours (with Justi...","""Lets Get It On"" by Young Dolph:
    Balling G saying make them bitches lay it down
    Smoking weed, bumping Pimp C, pocket full of stone
    Si...","""June 2020 Singles Release Calendar"" by Genius:
    6/1
    Conway the Machine - ""Front Lines""
    Dan Bull - ""Gamers Without Borders""
    Eric Bellinger - ""Enough""...","""You Ain’t That Young Kid"" by Hamilton Leithauser & Rostam:
    On the first night in June
    In a very crowded room
    The band was going on
    When you told me we were don..."
All Good Things,"""For the Glory"" by All Good Things:
    Better back down, you're in my domain
    Got the whole crowd screaming out our name
    It's a blowout, it'...","""2021: New Year, Same Sad"" by Eleventh Cassette:
    YOUTUBE PLAYLIST
    SPOTIFY PLAYLIST (Missing: 刘柏辛 ""佳人"", Campusanis ""Got Well Soon"", A.M ""I still love ...","""Get Up"" by All Good Things:
    Brothers in arms
    Are you ready for the stand
    Blood on the ground
    
    And mud on your hands
    Take another...","""Fight"" by All Good Things:
    Face to face, eye to eye
    Under lights, nowhere to hide
    Mask of steel, silent words
    Waiting till the ...","""Machines"" by All Good Things:
    Hands to the sky I swore I’d try
    Searching for a better life
    They would take us far from home
    Far fr...","""Kingdom"" by All Good Things:
    (This is our kingdom)
    Shoulder to shoulder the sons and the daughters
    (This is our castle)
    Our bones...","""Born Ready"" by All Good Things:
    Lights out
    Everybody's ready for the takedown
    Stay in your position till the break out
    There the one...","""I Have the Power"" by All Good Things:
    I've got this curious fever
    Crawling inside my veins
    Sparks coming
    Off of my fingers
    And voices in m...","""Never Die"" by All Good Things:
    Only seconds for decisions that last a life
    Only walking on the sharp edge of a knife
    All you want i...","""Beginning of the End"" by All Good Things:
    I’m staring into the valley of hell
    With a cross on my heart
    And smoke on my breath
    We are outnumber..."
All That Remains,"""Two Weeks"" by All That Remains:
    And you neglected I called you out, don't please
    I said ""We're stronger than this now""
    You resurrect...","""What If I Was Nothing"" by All That Remains:
    Just let it go
    Don't wanna argue anymore
    I can't be sure, I know just what we're fighting for
    I know...","""The Thunder Rolls"" by All That Remains:
    Three thirty in the morning
    Not a soul in sight
    The city's looking like a ghost town
    On a moonless s...","""This Calling"" by All That Remains:
    I secretly crave, crave that scent again
    Still feel it pressing on me now
    Now with the onset, my fle...","""Six"" by All That Remains:
    I wish I was free of this
    
    I see her in my dreams
    Wish that she wasn't there
    (But she still haunts m...","""The Last Time"" by All That Remains:
    Now close this chapter move on
    Just one last time and I'm gone
    Keep telling myself that it's under c...","""For You"" by All That Remains:
    Your plane is boarding
    Got to cross the ocean all alone
    My heart is stone
    You need to figure out
    The...","""This Probably Won’t End Well"" by All That Remains:
    Packing your things and you storm through the house said
    No, I can't take it, I just wanna end it
    An...","""The Air That I Breathe"" by All That Remains:
    I will not relent, no, no!
    Never live with defeat, never falter!
    This like the air that I breathe (L...","""Madness"" by All That Remains:
    History repeats itself
    Over and over, again and again
    Why should we escape ourselves
    We are who we a..."
